,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,harass_np_exp,haras_np_day,harass_np_place,right_viol,right_viol_year,right_viol_year_count,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
18,15 - 39,Rarely,Traffic Wardens,A guide on my way.,Rarely,Police checkpoint officers,"A bit of harassment, and bribery.",Yes,2020,Sunday,Lagos,No,None,,None,None,6,None,The officers must be taught to be friendly and yet formal in the execution of their duties.
19,15 - 39,Rarely,Nigerian Mobile Police,None,Often,Nigerian Mobile Police,None,Yes,2021;2020;2019;2018;2017;2016,Friday,Federal Capital Territory (FCT),Yes,2017,,Thursday,Federal Capital Territory (FCT),3,Scary ,An overhaul restructuring 
20,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,Yes,2019,,Saturday,Lagos,4,Toxic,Be a friend indeed to the people rather than an enemy
21,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,No,None,,None,None,5,None,None
22,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,Yes,2020,,None,None,5,None,None
23,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,No,None,,None,None,5,Normal,None
24,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,"Molestation, Stop and Search with intention to dupe and receive bribe",Yes,2020,Saturday,Delta,Yes,2020,,Friday,Edo,2,None,None
25,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,No,None,,None,None,4,Incompetency,Decentralising policing and presence will deter crime and allow for better monitoring
26,15 - 39,Rarely,Nigerian Mobile Police;State Security Service,None,Often,Nigerian Mobile Police,Took a turn without the sign not to turn and they wanted to haul me to their office to pay almost 50 thousand naira while trying to sexually harass me ,Yes,2021;2020,Saturday,Lagos,Yes,2021;2020,,Saturday,Lagos,2,Disappointing,"Probably reduce the number of agencies currently available now, then with those they can manage, provide them incentives to motivate them not to always want to extort or harass."
27,15 - 39,Often,Nigerian Mobile Police,I showed my papers and followed all due regulation,Rarely,Nigerian Mobile Police,"Been stopped at a military checkpoint with my family and been abused by the soldier including insulting the elderly ones in the car, with threat to shoot. A deployed soldier from the northeast.",Yes,2017,Thursday,Osun,Yes,2021;2020;2019;2018;2017;2016,,Friday,Lagos;Osun;Oyo,4,Corrupt,Better training and Re-orientation and discipline
28,15 - 39,Rarely,National Drug Law Enforcement Agency,None,Often,Nigerian Mobile Police,None,No,None,None,None,Yes,2017,,None,Anambra;Lagos,2,"Discouraging, disgusting and begging for reforms ","Sensitization/Reform of the Nigerian police.
"
29,15 - 39,Rarely,None,None,Rarely,Nigerian Mobile Police,Unlawful checking of phone and extortion. ,Yes,2017,None,Lagos,Yes,2021;2020;2019;2018;2017;2016,,None,Lagos,3,I do not wish to have any more encounter with them in my life,Total restructuring 
30,15 - 39,Rarely,Nigerian Civil Defense Corps,"The manner by which they handle protest I witnessed.

Also, there mode of Civil ways of attending to situations",Always,Nigerian Mobile Police;State Security Service,"Extortion and harassment by the Nigerian police force. Majorly on the highways.

While the state security has no respect for the rule of law as we can see in the case of Sunday Ighoho .
",No,None,None,None,Yes,2021;2020;2019;2018,,Thursday,Delta;Lagos;Ogun,1,They are highly uncivil and unprofessional full with rogue.,"Is high time Nigeria Police do away with recruiting unprofessional individuals. I prefer a case where they will only recruit graduates with a minimum of HND or BSC. By this, I believe there will be sanity. Instead of recruiting rogues. 

The old rogue should be given compulsory retirement and new educated and professional should replace them."
31,15 - 39,Rarely,None,None,Always,Nigerian Mobile Police,Wrong stop and search ,No,None,None,None,Yes,2021;2020,,Wednesday,Imo,4,None,None
32,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,No,None,,None,None,2,None,None
33,15 - 39,Rarely,Nigerian Mobile Police,"Settling of dispute
",Rarely,Nigerian Mobile Police,"No prompt response in terms of emergency
",No,None,None,None,Yes,2021,,Tuesday,Federal Capital Territory (FCT),7,Trying ,"Routine training and good salary
"
34,15 - 39,Rarely,None,None,Rarely,None,I was forced to pay some money because they saw old Naira notes with me after the new polymer notes were introduced. ,Yes,"2007, 2013",None,Ekiti;Enugu,Yes,None,,None,None,3,Unpleasant ,Right recruitment process
35,15 - 39,Rarely,Person bugigard,Polite ,Rarely,None,None,No,None,None,None,No,None,,None,None,4,Rude,Increase there sslaries
36,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,Terrible,Yes,2019,None,Rivers,Yes,2021;2020;2019;2018;2017;2016,,None,Rivers,2,Terrible,Proper sensitisation from top level to bottom
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,None,None,None,Yes,2021;2020;2019,,Tuesday,Abia;Akwa Ibom;Anambra;Bayelsa;Cross River;Delta;Ebonyi;Lagos;Osun;Rivers,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
38,15 - 39,Rarely,Nigerian Mobile Police,A police officer helped an older person cross the road and children also,Often,Nigerian Mobile Police;National Security Organization,Police officers exhorting Money from commercial drivers,No,None,None,None,Yes,2021,,Tuesday,Lagos,4,Inadequate ,"The police officers have to be loyal and honest as a person, they have to know that they are called to serve and not to add more problems to the community "
39,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,None,None,No,None,None,None,Yes,2020,,Wednesday,Lagos,3,None,None
40,15 - 39,Rarely,None,None,Always,Nigerian Mobile Police,Extortion ,No,None,None,None,No,None,,None,None,2,Gullible ,Honesty 
41,15 - 39,Rarely,Nil,I haven't ,Rarely,Nil,I haven't ,No,None,None,None,Yes,I can't really tell,,None,None,2,Thy are working base on their pay,They should add honesty to their conduct 
