,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,harass_np_exp,haras_np_day,harass_np_place,right_viol,right_viol_year,right_viol_year_count,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
99,15 - 39,Rarely,Nigerian Mobile Police,never had one,Rarely,Nigerian Mobile Police,"first was at a game centre, we were released after bribe was paid
another was at a traffic light, i was accused of jumping the red light but was sure i never did",Yes,2021;2004,Sunday,Lagos,Yes,2021,,Wednesday,Lagos,1,"they are very useless. they once raided a street in my presence, picked up any young man they saw in a gated street, in the night. they had to break the gate to move in and out. terrible people.","it should be scrapped and a new outfit that never interacted with the scrapped one be introduced. 

state policing: police should live in the community they serve, no more police barracks"
100,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police;State Security Service,None,Yes,2020;2019,None,Lagos,Yes,2020,,None,Lagos,6,Abysmal,None
101,15 - 39,Rarely,None,None,Rarely,None,None,Yes,2021;2020;2019,Saturday,Delta;Rivers,Yes,2021;2020;2019,,None,Delta;Rivers,4,Distasteful,None
102,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,2021,Wednesday,Abia,Yes,2017,,Thursday,Rivers,1,None,None
103,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,They asked our driver to give them money before they would let us pass,Yes,2021,Tuesday,Enugu,Yes,2021,,Thursday,Rivers,2,Hooligans,Total reformation is needed
104,15 - 39,Often,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,Yes,2021;2020;2019;2018;2017;2016,,Friday,Oyo,5,None,None
105,15 - 39,Rarely,Nigerian Mobile Police,None,Often,Nigerian Mobile Police,None,No,None,None,Lagos,Yes,2020,,None,Lagos,4,None,None
106,15 - 39,Rarely,Nigerian Mobile Police,I asked them to help me cross,Often,Nigerian Mobile Police,"They barged into my room, harassing me",Yes,2021;2020,Thursday,Kwara;Lagos,Yes,2021;2020,,Tuesday,Lagos,3,Disappointing,They should improve in everything. I think they need better management
107,15 - 39,Rarely,Nigerian Mobile Police,Conflict Resolution,Rarely,Nigerian Mobile Police,Oppression,No,None,None,None,Yes,2021;2020,,Friday,Kwara,3,Below Expectation,"They should develop conscience, and human feeling"
108,15 - 39,Rarely,None,I will when I have one.,Always,Nigerian Mobile Police;SARS and almost every other uniformed person.,They’re basically bullies with badges. Legal criminals.,Yes,2021;2020;2019;2018,None,Rivers,Yes,2021;2020;2019;2018;2017;2016,,None,Rivers;Federal Capital Territory (FCT),1,Oppression,People should stop joining the police just cos they don’t have any other job in Nigeria. They should because they want to serve and protect the people not just the wealthy. The police commit more crime these days than actual criminals in Nigeria and it’s horrible.
109,15 - 39,Rarely,Nigerian Mobile Police,Extorting cash on the road ,Often,Nigerian Mobile Police,None,Yes,2019;2018;2017;2016,None,Akwa Ibom,No,None,,None,None,3,None,None
110,15 - 39,Often,National Security Organization,None,Often,National Security Organization,None,Yes,2021,Monday,Akwa Ibom,Yes,2020,,Wednesday,Akwa Ibom,3,None,None
111,15 - 39,Rarely,Nigerian Mobile Police,We were packed and they came to find out if there was a problem. ,Rarely,Nigerian Mobile Police,They harrased my friend and I ,Yes,2021,Tuesday,Federal Capital Territory (FCT),Yes,2020,,Thursday,Federal Capital Territory (FCT),5,Not so amazing ,"They should be trained properly, most of them are uneducated. "
112,15 - 39,Rarely,None,None,Rarely,None,None,Yes,2017,Sunday,Lagos,Yes,2019,,Wednesday,Lagos,2,"They are very not our friend oh
We were driving to church when my brother packed to pump the tyre of the car,they suddenly appeared with their rickety car and said he was blocking the road. Of course the route was enough for two cars to go side by side. Them the argument began and one them called me ashawo.so I replied in my own words to",None
113,15 - 39,Rarely,None,None,Always,Divisional Police Station ,Taking sides and influenced with tips,No,None,None,None,Yes,2020,,Tuesday,Ogun,3,Discouraging ,"By being just and upright in their dealings, deemphasizing bribes"
