,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,,harass_np_year,haras_np_day,harass_np_place,right_viol,right_viol_year,,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
13,15 - 39,Rarely,National Drug Law Enforcement Agency,Saw them raid a drug smuggling neighbourhood,Often,Nigerian Mobile Police,Taking Bribe,No,,,,,Yes,2017,,Saturday,Ondo,1,Unprofessional,Conduct Enlightenment programs for the police and punish offenders in their ranks
14,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,2004,Thursday,Kwara,Yes,2020,,Wednesday,Ekiti,1,,
15,15 - 39,Rarely,National Intelligence Agency,Helped a friend ,Often,Nigerian Mobile Police,Always slow fmto respond to theft cases,No,,,Sunday,Abia,Yes,2019,,Sunday,Abia,1,Appalling,They should be educated on how to effectively carry out their assignments
16,15 - 39,Rarely,Nigerian Mobile Police,"It was late in the evening, around Ozumba Mbasiwe Avenue, the bus I entered broke down. The area has become somewhat notorious for robbery and other vices. 
The driver’s assistant refused to refund our money and other buses were filled. While we were having a scuffle, the RRS team on a patrol came and asked the driver and his assistant to refund the passengers. No arrest was made.
Afterwards, they started driving slowly behind us until we got to another bus stop where we got a bus.
We thank them, and we were soon on our way.",Rarely, , ,Yes,,,Saturday,Lagos,No,,,,,3,Pathetic ,"They need to engage in martial arts, basic health and technology trainings, better welfare packages , emotional intelligence training and post-service training. So that while in service, they can serve better and after service they are not rendered redundant because they lack skills that will make them useful aside learning to use firearms. 
More so, the development will encourage others to take up service works. As most people already have disdain for the work. They see it as an escape from lack of employment "
17,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2021,,Monday,Lagos,2,Unprofessional ,
17,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2020,,Monday,Lagos,2,Unprofessional ,
17,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2019,,Monday,Lagos,2,Unprofessional ,
17,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2018,,Monday,Lagos,2,Unprofessional ,
17,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2017,,Monday,Lagos,2,Unprofessional ,
17,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2016,,Monday,Lagos,2,Unprofessional ,
18,15 - 39,Rarely,,A guide on my way.,Rarely,Nigerian Mobile Police,"A bit of harassment, and bribery.",Yes,,2020,Sunday,Lagos,No,,,,,6,,The officers must be taught to be friendly and yet formal in the execution of their duties.
19,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2021,Friday,Federal Capital Territory (FCT),Yes,2017,,Thursday,Federal Capital Territory (FCT),3,Scary ,An overhaul restructuring 
19,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2020,Friday,Federal Capital Territory (FCT),Yes,2017,,Thursday,Federal Capital Territory (FCT),3,Scary ,An overhaul restructuring 
